,eng,tok
295,when you see him you will be glad you will love him as a woman and he will never forsake you,tenpo kama la ona li pona tawa sina ona li pana e pona tawa sina li utala e jan ike sina ona li jan sama sina sina olin e ona sama meli olin

296,this is the meaning of the dream’,mije lili o sitelen lape sina li pona li suli

297,gilgamesh said ‘mother i dreamed a second dream in the streets of strongwalled uruk there lay an axe the shape of it was strange and the people thronged round i saw it and was glad i bent down deeply drawn towards it i loved it like a woman and wore it at my side’ ninsun answered ‘that axe which you saw which drew you so powerfully like love of a woman that is the comrade whom i give you and he will come in his strength like one of the host of heaven he is the brave companion who rescues his friend in necessity’ gilgamesh said to his mother ‘a friend a counsellor has come to me from enlil and now i shall befriend and counsel him’ so gilgamesh told his dreams and the harlot shamhat retold them to enkidu,

298,and now she said to enkidu ‘when i look at you you have become like a god why do you yearn to run wild again with the beasts in the hills get up from the ground the bed of a shepherd’ he listened to her words with care it was good advice that she gave,

299,she divided her clothing in two,jan sanka li tu e len ona

300,and with the one half she clothed him and with the other herself,ona li len e jan enkitu kepeken len wan

301,and holding his hand she led him like a child to the sheepfolds,jan sanka li toki e ni o kama poka mi o kama tawa kulupu jan

302,into the shepherds’ tents,ona li tawa tomo pi jan pi lawa mani

303,there all the shepherds crowded round to see him,jan mute pi lawa pi mani mute li kulupu li lukin e jan enkitu li toki e ni ona li suli sama jan kikamesi ona li wawa sama suno pi sewi an

304,they put down bread in front of him but enkidu could only suck the milk of wild animals,ona li pana e pan e telo nasa jelo

305,he fumbled and gaped at a loss what to do or how he should eat the bread and drink the strong wine,jan enkitu li moku ala ona li lukin wawa taso tenpo ala la ona li lukin e pan e telo nasa

306,then the woman said,jan sanka li toki ni

307,‘enkidu eat bread it is the staff of life,jan enkitu o moku e moku ni

308,drink the wine,o moku e telo ni

309,it is the custom of the land’,ni li nasin jan

310,so he ate till he was full,jan enkitu li moku e pan mute

311,and drank strong wine seven goblets,ona li moku e telo nasa jelo mute

312,he became merry his heart exulted and his face shone,ona li pilin pona mute

313,he rubbed down the matted hair of his body and anointed himself with oil,ona li telo e sijelo ona

314,enkidu had become a man but when he had put on man’s clothing he appeared like a bridegroom,ona li len jan enkitu li jan kin

315,he took arms to hunt the lion so that the shepherds could rest at night he caught wolves and lions and the herdsmen lay down in peace for enkidu was their watchman that strong man who had no rival,jan pi lawa mani li lape la jan enkitu li lape ala ona li kama jo e ilo utala li utala e soweli ike jan pi lawa mani li ken lape pona

316,he was merry living with the shepherds till one day lifting his eyes he saw a man approaching,jan enkitu li tawa e oko li lukin e ni jan mije li tawa noka

317,he said to the harlot,jan enkitu li toki e ni

318,‘woman fetch that man here,jan sanka o mi wile e ni jan ni li tawa weka

319,why has he come i wish to know his name’,tan seme la ona li tawa

320,she went and called the man saying,jan sanka li toki e ni

321,‘sir where are you going on this weary journey’,jan ante o sina tawa tan seme sina sama lukin jan pi pilin ike sina pilin ike tan seme

322,the man answered saying to enkidu,jan mije li toki tawa jan enkitu li toki e ni

323,‘gilgamesh has gone into the marriagehouse and shut out the people,tenpo lili kama la mi en meli olin mi li wan

324,he does strange things in uruk the city of great streets at the roll of the drum work begins for the men and work for the women,

325,gilgamesh the king is about to celebrate marriage with the queen of love and he still demands to be first with the bride,taso jan kikamesi li jan lawa a ona li wile unpa e olin mi tenpo pimeja pi kama wan la jan kikamesi li unpa e olin mi

326,the king to be first and the husband to follow for that was ordained by the gods from his birth from the time the umbilical cord was cut,nasin pi kulupu pi jan sewi li ni tenpo pimeja pi kama wan la jan lawa li ken unpa e meli pi jan ante

327,but now the drums roll for the choice of the bride and the city groans’,

328,at these words enkidu turned white in the face,jan enkitu li pilin ike wawa tan toki pi jan ni

329,’i will go to the place where gilgamesh lords it over the people i will challenge him boldly and i will cry aloud in uruk i have come to change the old order for i am the strongest here,ona li toki e ni mi tawa ma tomo uluku jan kikamesi li unpa ala e meli sina

330,now enkidu strode in front,jan enkitu li tawa lon nasin pi ma tomo uluku

331,and the woman followed behind,jan sanka li tawa lon monsi ona

332,he entered uruk that great market,jan enkitu li lon supa pi ma tomo

333,and all the folk thronged round him where he stood in the street in strongwalled uruk the people jostled speaking of him they said,jan mute li kulupu lon poka ona li toki e ni

334,‘he is the spit of gilgamesh’ ‘he is shorter’ ‘he is bigger of bone’,

335,‘this is the one who was reared on the milk of wild beasts,jan ni li kama tan ma nena

336,his is the greatest strength’,ona li wawa

337,the men rejoiced,

338,‘now gilgamesh has met his match this greatone this hero whose beauty is like a god he is a match even for gilgamesh’,ona li suli sama jan kikamesi

339,in uruk the bridal bed was made fit for the goddess of love the bride waited for the bridegroom but in the night gilgamesh got up and came to the house then enkidu stepped out he stood in the street and blocked the way,jan enkitu li kama tawa tomo pi jan olin ona li awen lon sinpin pi lupa pi tomo ni ona li awen e noka ona lon sinpin pi tomo ni

340,mighty gilgamesh came on,jan kikamesi li kama

341,and enkidu met him at the gate he put out his foot and prevented gilgamesh from entering the house,taso ona li ken ala kama tawa insa tomo

342,so they grappled holding each other like bulls,ona li pilin ike wawa jan kikamesi li kama utala e jan enkitu jan enkitu li utala e jan kikamesi ona tu li utala

343,they broke the doorposts and the walls shook they snorted like bulls locked together they shattered the doorposts and the walls shook gilgamesh bent his knee with his foot planted on the ground and with a turn enkidu was thrown,poka pi lupa tomo li tawa ona li utala wawa poka pi lupa tomo li pakala ona li utala sama soweli wawa sinpin tomo li tawa

344,then immediately his fury died,jan kikamesi li pini e ike utala wawa ona li pini utala

345,when enkidu was thrown he said to gilgamesh,jan enkitu li toki tawa ona li toki e ni

346,‘there is not another like you in the world,jan kikamesi o jan ala li sama sina

347,ninsun who is as strong as a wild ox in the byre she was the mother who bore you and now you are raised above all men,sina wawa sama sewi mama sewi sina li kama e ni sina wawa

348,and enlil has given you the kingship for your strength surpasses the strength of men,sewi enli li kama e ni sina jan lawa

349,such is your destiny everlasting life is not your destiny because of this do not be sad at heart do not be grieved or oppressed he has given you power to bind and to loose to be the darkness and the light of mankind he has given you unexampled supremacy over the people victory in battle from which no fugitive returns in forays and assaults from which there is no going back,

350,but do not abuse this power deal justly with your servants in the palace deal justly before shamash’,jan kikamesi o pini pali e ike tawa jan pi ma tomo uluku ona li jan ike ala tawa sina sina jan lawa pi jan ni

351,so enkidu and gilgamesh embraced and their friendship was sealed,jan enkitu li uta e jan kikamesi jan kikamesi li uta e jan enkitu ona tu li kama jan sama kin

352,the epic of gilgamesh,jan kikamesi

353,n k sanders,jan ote

354,2 the forest journey,utala pi jan kuwawa

355,the eyes of enkidu were full of tears and his heart was sick he sighed bitterly,jan enkitu li toki ala ona li pilin ike li pana e telo oko

356,and gilgamesh met his eye and said,jan kikamesi li lukin e ona li toki e ni

357,‘my friend why do you sigh so bitterly’,jan sama o sina pilin ike tan seme

358,but enkidu opened his mouth and said,jan enkitu li open e uta ona li toki e ni

359,‘i am weak my arms have lost their strength the cry of sorrow sticks in my throat i am oppressed by idleness’,luka mi li kama wawa ala wawa mi li kama lili

360,it was then that the lord gilgamesh turned his thoughts to the country of the living on the land of cedars the lord gilgamesh reflected,

361,he said to his servant enkidu,jan kikamesi li toki tawa ona li toki e ni

362,’i have not established my name stamped on bricks as my destiny decreed,

363,therefore i will go to the country where the cedar is felled,o tawa mi tu o tawa nena pi kasi suli nena ni li weka tan ni ona li lon tawa nasin pi anpa suno kasi suli mute li lon ma ni palisa pi kasi ni li sewi li kiwen kasi suli sama li lon ala ma mi

364,i will set up my name in the place where the names of famous men are written and where no man’s name is written yet i will raise a monument to the gods,

365,because of the evil that is in the land we will go to the forest and destroy the evil for in the forest lives humbaba whose name is hugeness a ferocious giant,taso jan kuwawa li lon nena pi kasi suli jan li kama tawa kasi suli ni li wile pakala e ona li wile kama jo e ona la jan kuwawa li utala e ona li moli e ona jan kuwawa li ike li wawa mute mi wile e ni jan ike li lon ala ma o tawa sewi nena sina en mi li utala e ona li anpa e ona li moli e ona

366,but enkidu sighed bitterly and said,jan enkitu li toki e ni

367,‘when i went with the wild beasts ranging through the wilderness i discovered the forest its length is ten thousand leagues in every direction,

368,enlil has appointed humbaba to guard it and armed him with sevenfold terrors terrible to all flesh is humbaba,jan sama o jan sewi li wile e ni jan kuwawa li lon ma kasi ni jan sewi enli li wile e ni jan kuwawa li moli e jan

369,he guards the cedars so well that when the wild heifer stirs in the forest,soweli li tawa lon ma kasi la

370,though she is sixty leagues distant he hears her,jan kuwawa li ken kute e kalama lili weka

371,what man would willingly walk into that country and explore its depths,jan seme li ken kama tawa ma kasi ni

372,when he roars it is like the torrent of the storm,kalama uta pi jan kuwawa li sama kalama pi telo suli wawa

373,his breath is like fire and his jaws are death itself,uta ona li sama seli kon pi uta ona li sama moli

374,i tell you weakness overpowers whoever goes near it it is not an equal struggle when one fights with humbaba he is a great warrior a batteringram gilgamesh the watchman of the forest never sleeps’,sina wile utala e jan ni tan seme mi tu li wawa sama ala jan ni mi ken ala anpa e ona

375,gilgamesh replied,jan kikamesi li toki tawa jan enkitu li toki e ni

376,‘where is the man who can clamber to heaven,jan pona mi o jan seme li ken tawa sewi kon sewi

377,only the gods live for ever with glorious shamash,jan sewi taso li moli ala

378,but as for us men our days are numbered,tenpo suno mute pi jan ma li kama pini jan li moli

379,our occupations are a breath of wind,jan li pali e ijo taso ijo ali ni li sama kon

380,how is this already you are afraid,tenpo ni la sina pilin ike tan ni sina ken moli wawa sina li lon seme

381,i will go first although i am your lord,pona mi lawa e sina

382,and you may safely call out,tenpo pi tawa mi li kama la sina toki e ni tawa mi

383,forward there is nothing to fear,‘o tawa o pilin ike ala’

384,then if i fall i leave behind me a name that endures,jan ike ni li anpa e mi li moli e mi la

385,men will say of me,jan mute li toki e ni

386,gilgamesh has fallen in fight with ferocious humbaba,‘jan kikamesi li utala e jan wawa kuwawa li kama anpa li kama moli’

387,long after the child has been bony in my house they will say it,tenpo kama la jan lili mi li toki e ni ‘jan kikamesi li utala e jan wawa kuwawa’ tenpo mute kama la jan li toki e ni ‘jan kikamesi li utala e jan wawa kuwawa lon nena pi kasi suli li kama moli lon utala ni’

388,and remember’,nimi mi li kama suli

389,enkidu spoke again to gilgamesh ‘o my lord if you will enter that country go first to the hero shamash tell the sun god for the land is his the country where the cedar is cut belongs to shamash’,jan kikamesi li tawa tomo pi jan sewi utu

390,gilgamesh took up a kid white without spot and a brown one with it he held them against his breast and he carried them into the presence of the sun,ona li moli e soweli lili li sewi e luka ona

391,he took in his hand his silver sceptre and he said to glorious shamash,ona li toki e ni

392,‘o shamash hear me hear me shamash let my voice be heard,jan sewi utu o

393,i am going to that country o shamash i am going,mi wile kama tawa jan kuwawa li utala e ona

394,here in the city man dies oppressed at heart man perishes with despair in his heart i have looked over the wall and i see the bodies floating on the river and that will be my lot also indeed i know it is so for whoever is tallest among men cannot reach the heavens and the greatest cannot encompass the earth therefore i would enter that country because i have not established my name stamped on brick as my destiny decreed i will go to the country where the cedar is cut i will set up my name where the names of famous men are written and where no man’s name is written i will raise a monument to the gods,mi wile e ni nimi mi li kama suli

395,my hands supplicate so let it be well with my soul and bring me back to the quay of uruk grant i beseech your protection and let the omen be good’,sina sona li pona o pana e pona tawa mi o kama e ni mi anpa e jan wawa ni li jo e sijelo pona li tawa ma tomo uluku

396,the tears ran down his face and he said,jan kikamesi li pana e telo oko ona li toki e ni

397,‘alas it is a long journey that i must take to the land of humbaba if this enterprise is not to be accomplished why did you move me shamash with the restless desire to perform it how can i succeed if you will not succour me if i die in that country i will die without rancour but if i return i will make a glorious offering of gifts and of praise to shamash’,jan sewi utu o mi moli e jan kuwawa la mi toki mute e pona sina li pali e sitelen sina kiwen

398,so shamash accepted the sacrifice of his tears,telo oko pi jan kikamesi li pona tawa jan sewi utu

399,like the compassionate man he showed him mercy,ona li toki tawa jan kikamesi li toki e ni jan kikamesi o pilin pona

400,he appointed strong allies for gilgamesh sons of one mother the great winds he appointed,mi lawa e kon tawa

401,the scorching wind,mi jo e kon tawa seli

402,the icy wind,mi jo e kon tawa lete

403,the tempest,mi jo e kon tawa telo

404,the stone wind,mi jo e kon tawa pi ko kiwen lili

405,the north wind,mi jo e kon tawa tan ma lete

406,and the whirlwind,mi jo e kon tawa tan ma seli

407,like vipers like dragons like a scorching fire like a serpent that freezes the heart a destroying flood and the lightning’s fork such were they and gilgamesh rejoiced,o tawa nena pi kasi suli o utala e ike

408,he stationed these winds in the mountain caves,jan sewi utu li kulupu e kon tawa mute lon insa lupa pi nena kiwen

409,he went to the forge and said ‘i will give orders to the armourers they shall cast us our weapons while we watch them’ so they gave orders to the armourers and the craftsmen sat down in conference,jan kikamesi en jan enkitu li tawa jan pali pi ilo utala

410,they went into the groves of the plain and cut willow and boxwood they cast for them axes of nine score pounds,ona li pali e ilo suli pi kasi suli

411,and great swords they cast with blades of six score pounds each one with pommels and hilts of thirty pounds,e ilo palisa utala suli

412,they cast for gilgamesh the axe ‘might of heroes’ and the bow of anshan and gilgamesh was armed and enkidu and the weight of the arms they carried was thirty score pounds,li pana e ilo ni tawa ona

413,the people collected and the counsellors in the streets and in the marketplace of uruk,jan kikamesi en jan enkitu li tawa supa pi ma tomo

414,they came through the gate of seven bolts and gilgamesh spoke to them in the marketplace,jan lawa kikamesi li toki e ni

415,’i gilgamesh go to see that creature of whom such things are spoken the rumour of whose name fills the world,jan ali o kute mi wile kama tawa jan wawa kuwawa li moli e ona

416,i will conquer him in his cedar wood and show the strength of the sons of uruk all the world shall know of it i am committed to this enterprise to climb the mountain to cut down the cedar and leave behind me an enduring name’,mi wile kama tawa jan kuwawa li utala e ona li moli e ona nimi mi li kama suli nimi pi jan tan ma tomo uluku li kama suli

417,the counsellors of uruk the great market answered him,jan sona li toki tawa jan kikamesi li toki e ni

418,’gilgamesh you are young your courage carries you too far you cannot know what this enterprise means which you plan,jan lawa o sina wile utala e jan ike ni tan seme pilin sina li suli li wawa sama pilin pi jan lili taso sona sina li suli ala

419,we have heard that hurnbaba is not like men who die his weapons are such that none can stand against them the forest stretches for ten thousand leagues in every direction who would willingly go down to explore its depths,jan kuwawa li ike lukin li wawa mute

420,as for humbaba when he roars it is like the torrent of the storm,kalama uta pi jan kuwawa li sama kalama pi telo suli wawa

421,his breath is like fire and his jaws are death itself,uta ona li sama seli kon pi uta ona li sama moli

422,why do you crave to do this thing gilgamesh it is no equal struggle when one fights with humbaba that batteringram,sina ken ala anpa e ona wile sina li pona ala

423,when he heard these words of the counsellors gilgamesh looked at his friend and laughed,jan kikamesi li toki tawa jan enkitu li toki e ni

424,‘how shall i answer them shall i say i am afraid of humbaba i will sit at home all the rest of my days’,jan pona mi o jan ni li toki e nimi kuwawa taso la ona li pilin ike kin

425,then gilgamesh opened his mouth again and said to enkidu,jan kikamesi li toki tawa jan enkitu li toki e ni

426,‘my friend let us go to the great palace to egalmah and stand before ninsun the queen ninsun is wise with deep knowledge she will give us counsel for the road we must go’,jan pona o kama poka mi o tawa tomo suli pi mama sewi mi

427,they took each other by the hand as they went to egalmah and they went to ninsun the great queen,jan kikamesi li lawa e jan enkitu tawa tomo pi jan sewi nintu

428,gilgamesh approached he entered the palace and spoke to ninsun,ona li kama lon insa tomo li toki e ni

429,‘ninsun will you listen to me i have a long journey to go to the land of humbaba i must travel an unknown road and fight a strange battle from the day i go until i return till i reach the cedar forest and destroy the evil which shamash abhors,mama o mi wile kama tawa jan kuwawa ike li moli e ona

430,pray for me to shamash’,o toki pona e mi tawa jan sewi utu

431,ninsun went into her room she put on a dress becoming to her body,jan sewi nintu li telo e sijelo ona li len e len pona lukin

432,she put on jewels to make her breast beautiful,ona li pana e linja sike tawa anpa lawa ona

433,she placed a tiara on her head and her skirts swept the ground,

434,then she went up to the altar of the sun standing upon the roof of the palace she burnt incense and lifted her arms to shamash as the smoke ascended,jan nintu li tawa tomo sewi pi jan sewi utu li sewi e luka li toki e ni

435,‘o shamash why did you give this restless heart to gilgamesh my son why did you give it you have moved him and now he sets out on a long journey to the land of humbaba to travel an unknown road and fight a strange battle,jan sewi utu o sina li pilin ike tawa ike ali jan lili mi li wile anpa e ike jan kikamesi li wile anpa e jan wawa kuwawa

436,therefore from the day that he goes till the day he returns until he reaches the cedar forest until he kills humbaba and destroys the evil thing which you shamash abhor do not forget him but let the dawn aya your dear bride remind you always and when day is done give him to the watchman of the night to keep him from harm’,o pana e pona tawa jan lili mi

437,then ninsun the mother of gilgamesh extinguished the incense and she called to enkidu with this exhortation,jan sewi nintu li toki tawa jan enkitu li toki e ni

438,’strong enkidu you are not the child of my body but i will receive you as my adopted son you are my other child like the foundlings they bring to the temple,sina jan pona pi jan kikamesi sina jan sama pi jan lili mi jan enkitu o sina jan lili mi

439,serve gilgamesh as a foundling serves the temple and the priestess who reared him,jan lili mi o tawa poka jan kikamesi o pana e pona tawa ona o utala e ike ali poka ona

440,in the presence of my women any votaries and hierophants i declare it’,

441,then she placed the amulet for a pledge round his neck and she said to him ‘i entrust my son to you bring him back to me safely’,jan sewi nintu li toki e nimi pona wawa li pana e linja sike pi anpa lawa tawa jan enkitu

442,and now they brought to them the weapons they put in their hands the great swords in their golden scabbards and the bow and the quiver gilgamesh took the axe he slung the quiver from his shoulder and the bow of anshan and buckled the sword to his belt and so they were armed and ready for the journey,ona li kama tawa jan kikamesi li lawa ona li jo e ilo suli pi kasi suli e ilo utala palisa suli jan enkitu li tawa lon monsi pi jan kikamesi ona kin li jo e ilo pi kasi suli e ilo utala palisa

443,now all the people came and pressed on them,kulupu pi jan mute li tawa lon monsi jan enkitu li jo e ilo pi kasi suli

444,and said ‘when will you return to the city’,

445,the counsellors blessed gilgamesh and warned him ‘do not trust too much in your own strength be watchful restrain your blows at first the one who goes in front protects his companion the good guide who knows the way guards his friend let enkidu lead the way he knows the road to the forest he has seen humbaba and is experienced in battles let him press first into the passes let him be watchful and look to himself let enkidu protect his friend and guard his companion and bring him safe through the pitfalls of the road we the counsellors of uruk entrust our king to you o enkidu bring him back safely to us’,

446,again to gilgamesh they said ‘may shamash give you your heart’s desire may he let you see with your eyes the thing accomplished which your lips have spoken may he open a path for you where it is blocked and a road for your feet to tread may he open the mountains for your crossing and may the nighttime bring you the blessings of night and lugulbanda your guardian god stand beside you for victory may you have victory in the battle as though you fought with a child wash your feet in the river of humbaba to which you are journeying in the evening dig a well and let there always be pure water in your waterskin offer cold water to shamash and do not forget lugulbanda’,

447,then enkidu opened his mouth and said ‘forward there is nothing to fear follow me for i know the place where humbaba lives and the paths where he walks let the counsellors go back there is no cause for fear’,

448,when the counsellors heard this they sped the hero on his way ‘go gilgamesh may your guardian god protect you on the road and bring you safely back to the quay of uruk’,jan sona li toki tawa jan kikamesi li toki e ni o tawa jan sewi sina li pana e pona tawa sina

449,after twenty leagues they broke their fast after another thirty leagues they stopped for the night,ona li tawa nasin tawa pi nena pi kasi suli tenpo suno la ona li tawa ona li tawa weka mute tan ma tomo uluku

450,in the evenings they dug a well and offered cold water to shamash,tenpo pimeja li kama la ona li pali e lupa pi telo pona tenpo suno sin la ona li weka e telo pona lili tawa jan sewi utu jan sewi li lukin e ona li pilin pona tenpo suno sin la ona li tawa nasin pi nena pi kasi suli li tawa weka mute mute tan ma tomo tenpo pimeja sin la ona li pali e lupa pi telo pona li weka e telo pona lili tawa jan sewi

451,fifty leagues they walked in one day in three days they had walked as much as a journey of a month and two weeks they crossed seven mountains before they came to the gate of the forest,tenpo suno li kama ona li tawa sewi nena li kama tawa poka pi ma pi kasi suli

452,then enkidu called out to gilgamesh ‘do not go down into the forest when i opened the gate my hand lost its strength’,

453,gilgamesh answered him ‘dear friend do not speak like a coward have we got the better of so many dangers and travelled so far to turn back at last you who are tried in wars and battles hold dose to me now and you will feel no fear of death keep beside me and your weakness will pass the trembling will leave your hand would my friend rather stay behind no we will go down together into the heart of the forest let your courage be roused by the battle to come forget death and follow me a man resolute in action but one who is not foolhardy when two go together each will protect himself and shield his companion and if they fall they leave an enduring name’,

454,together they went down into the forest and they came to the green mountain there they stood still they were struck dumb,ona li awen li toki ala

455,they stood still and gazed at the forest,ona lukin taso e kasi suli mute

456,they saw the height of the cedar,ona li lukin e ni kasi suli li sewi mute

457,they saw the way into the forest and the track where humbaba was used to walk the way was broad and the going was good,nasin pona li lon insa pi ma pi kasi suli tenpo mute la jan kuwawa li tawa lon nasin ni noka ona li pali e nasin ni

458,they gazed at the mountain of cedars the dwellingplace of the gods and the throne of ishtar the hugeness of the cedar rose in front of the mountain its shade was beautiful full of comfort mountain and glade were green with brushwood,seli suno li ken ala kama tawa insa pi ma kasi tan ni kasi ni li suli mute pimeja ni li lete li pona

459,there gilgamesh dug a well before the setting sun he went up the mountain and poured out fine meal on the ground and said,ona li tawa nena suli loje walo jan kikamesi li weka e ko pan pona tawa ma li toki e ni

460,‘o mountain dwelling of the gods bring me a favourable dream’,nena o pana e lape pona tawa mi

461,then they took each other by the hand and lay down to sleep and sleep that flows from the night lapped over them,tenpo pimeja li kama jan kikamesi en jan enkitu li anpa ona tu li pilin e luka pi jan sama li lape

462,gilgamesh dreamed and at midnight sleep left him and he told his dream to his friend,jan kikamesi li pini wawa e lape ona li toki e ni

463,‘enkidu what was it that woke me if you did not,jan enkitu o sina toki ala toki tawa mi sina pilin ala pilin e mi lape mi li pini tan seme

464,my friend i have dreamed a dream get up look at the mountain precipice the sleep that the gods sent me is broken ah my friend what a dream i have had,mi lape li lukin e ni

465,terror and confusion i seized hold of a wild bull in the wilderness,mi utala e soweli wawa

466,it bellowed and beat up the dust,ona li tawa wawa e noka ona li tawa e ko kiwen

467,till the whole sky was dark,tan ni la kon li pimeja

468,my arm was seized and my tongue bitten,luka mi li wawa ala

469,i fell back on my knee,mi ken ala anpa e ona

470,then someone refreshed me with water from his waterskin’,jan ante li tawa mi li pana e telo tawa mi ona li pona

471,enkidu said,jan enkitu li toki e ni

472,‘dear friend the god to whom we are travelling is no wild bull though his form is mysterious that wild bull which you saw is shamash the protector,jan pona mi o lukin lape sina li pona jan kuwawa li nasa lukin li wawa lukin taso ona li sama ala soweli wawa ni soweli wawa pi lape sina li jan sewi utu

473,in our moment of peril he will take our hands,tenpo utala la ona li pana e pona tawa mi tu

474,the one who gave water from his waterskin that is your own god who cares for your good name your lugulbanda united with him together we will accomplish a work the fame of which will never die’,mama sina kin li pana e telo tawa sina ona li jan lawa lukapanta

475,gilgamesh said ‘i dreamed again we stood in a deep gorge of the mountain and beside it we two were like the smallest of swamp flies and suddenly the mountain fell it struck me and caught my feet from under me then came an intolerable light blazing out and in it was one whose grace and whose beauty were greater than the beauty of this world he pulled me out from under the mountain he gave me water to drink and my heart was comforted and he set my feet on theground’,

476,then enkidu the child of the plains said ‘let us go down from the mountain and talk this thing over together’ he said to gilgamesh the young god ‘your dream is good your dream is excellent the mountain which you saw is humbaba now surely we will seize and kill him and throw his body down as the mountain fell on the plain’,

477,the next day after twenty leagues they broke their fast and after another thirty they stopped for the night they dug a well before the sun had set and gilgamesh ascended the mountain he poured out fine meal on the ground and said ‘o mountain dwelling of the gods send a dream for enkidu make him a favourable dream’ the mountain fashioned a dream for enkidu it came an ominous dream a cold shower passed over him it caused him to cower tike the mountain barley under a storm of rain but gilgamesh sat with his chin on his knees till the sleep which flows over all mankind lapped over him then at midnight sleep left him he got up and said to his friend ‘did you call me or why did i wake did you touch me or why am i terrified did not some god pass by for my limbs are numb with fear my friend i saw a third dream and this dream was altogether frightful the heavens roared and the earth roared again daylight failed and darkness fell lightnings flashed fire blazed out the clouds lowered they rained down death then the brightness departed the fire went out and all was turned to ashes fallen about us let us go down from the mountain and talk this over and consider what we should do’,

478,when they had come down from the mountain gilgamesh seized the axe in his hand he felled the cedar,ona li tawa lon insa pi ma pi kasi suli jan kikamesi li lukin li toki e ni ni li kasi suli pona ona li kama jo e ilo li anpa e kasi suli jan enkitu li weka e palisa tan kasi suli ni

479,when humbaba heard the noise far off he was enraged,jan kuwawa li kute e kalama li pilin ike wawa

480,he cried out,ona li toki wawa e ni

481,‘who is this that has violated my woods and cut down my cedar’,jan seme li kama tawa ma mi li pakala e kasi suli mi

482,but glorious shamash called to them out of heaven ‘go forward do not be afraid’,

483,but now gilgamesh was overcome by weakness for sleep had seized him suddenly a profound sleep held him he lay on the ground stretched out speechless as though in a dream,jan kuwawa li pana e wawa sewi tawa kalama ni wawa sewi ni li sama kon li sama suno ona li tawa sama ilo moli linja jan kikamesi li kama anpa li lape

484,when enkidu touched him,ona li pilin e jan kikamesi kepeken luka ona

485,he did not rise,jan kikamesi li tawa ala

486,when he spoke to him he did not reply ‘o gilgamesh lord of the plain of kullab the world grows dark the shadows have spread over it now is the glimmer of dusk shamash has departed his bright head is quenched in the bosom of his mother ningal o gilgamesh how long will you lie like this asleep never let the mother who gave you birth be forced in mourning into the city square’,jan enkitu li toki wawa e ni jan kikamesi o jan sama o tenpo pi suli seme la sina li lape kin jan enkitu li tawa wawa e ona li toki wawa tawa ona

487,at length gilgamesh heard him,jan kikamesi li open e oko ona li tawa sewi

488,he put on his breastplate ‘the voice of heroes’ of thirty shekels’ weight he put it on as though it had been a light garment that he carried and it covered him altogether he straddled the earth like a bull that snuff’s the ground and his teeth were clenched,

489,‘by the life of my mother ninsun who gave me birth and by the life of my father divine lugulbanda let me live to be the wonder of my mother as when she nursed me on her lap,ona li toki e ni ike a

490,until we have fought this man if man he is this god if god he is the way that i took to the country of the living will not turn back to the city’,jan ni li jan ma anu jan sewi

491,then enkidu the faithful companion pleaded answering him,jan enkitu li toki e ni

492,‘o my lord you do not know this monster and that is the reason you are not afraid i who know him i am terrified his teeth are dragon’s fangs his countenance is like a lion his charge is the rushing of the flood with his look he crushes alike the trees of the forest and reeds in the swamp,jan kuwawa li wawa mute

493,o my lord you may go on if you choose into thus land but i will go back to the city i will tell the lady your mother all your glorious’ deeds till she shouts for joy and then i will tell the death that followed till she weeps for bitterness’,jan pona o tawa ala jan ni mi mute o tawa weka tan ma ni o tawa ma tomo uluku

494,but gilgamesh said,jan kikamesi li toki tawa jan enkitu li toki e ni

495,‘immolation and sacrifice are not yet for me the boat of the dead shall not go down nor the threeply cloth be cut for my shrouding not yet will my people be desolate nor the pyre be lit in my house and my dwelling burnt on the fire,mi wile lukin e jan ni li utala e ona

496,today give me your aid and you shall have mine what then can go amiss with us two all living creatures born of the flesh shall sit at last in the boat of the west and when it sinks when the boat of magilum sinks they are gone but we shall go forward and fix our eyes on this monster if your heart is fearful throw away fear if there is terror in it throw away terror take your axe in your hand and attack he who leaves the fight unfinished is not at peace’,o pilin pona jan tu li ken ala moli sina en mi li ken anpa e ona

497,then enkidu called out ‘o gilgamesh remember now your boasts in uruk forward attack son of uruk there is nothing to fear’ when he heard these words his courage rallied he answered ‘make haste close in if the watchman is there do not let him escape to the woods where he will vanish,jan sewi utu li toki tawa jan kikamesi li toki e ni o awen ala

498,he has put on the first of his seven splendours,jan kuwawa li len e wawa sewi wan taso

499,but not yet the other six,ona li jo e wawa sewi mute lon tomo ona

500,let us trap him before he is armed’,sina awen la ona li ken len e wawa sewi ali o tawa

501,humbaba came out from his strong house of cedar,ona tu li tawa wawa tomo pi jan kuwawa jan kuwawa li tawa ona

